种,type; breed; race; seed,zhǒng,[sound:种.mp3]
家兄是一名程序员,My older brother (humble) is a programmer,jiā xiōng shì yī míng chéng xù yuán<br>,
在下免贵姓王,My (humble) last name is Wang,zài xià miǎn guì xìng wáng<br>,
请问贵公司在招聘吗,"Excuse me, is YOUR company hiring?",qǐng wèn guì gōng sī zài zhāo pìn ma,
请问贵国的大使馆周末上班吗,"Excuse me, is YOUR country's embassy open on weekends?",qǐng wèn guì guó de dà shǐ guǎn zhōu mò shàng bān ma,
请问您贵姓,"Excuse me, may i have YOUR last name?",qǐng wèn nín guì xìng<br>,
您在哪里上班,Where do YOU work?,nín zài nǎ lǐ shàng bān,
家父也是一名公司职员,My father (humble) is also an office clerk,jiā fù yě shì yī míng gōng sī zhí yuán<br>,
我下星期能参观贵校吗,May I visit YOUR school (short) next week?,wǒ xià xīng qī néng cān guān guì xiào ma,
家母是一名演员,My mother (humble) is an actress,jiā mǔ shì yī míng yǎn yuán,
姓名,Full name,xìng míng<br>,
拜托您了,(I) appreciate YOUR help,bài tuō nín le<br>,
再会,See you!,zài huì<br>,
您慢走,YOU take care!,nín màn zǒu<br>,
祝贺你,Congratulations (to you)! (formal),zhù hè nǐ<br>,
对不起让您久等了,Sorry to keep YOU wating! (formal),duì bu qǐ ràng nín jiǔ děng le<br>,
请稍等,Please wait a moment! (formal),qǐng shāo děng<br>,
请您多关照,Please look out for me (if you would be so kind)!,qǐng nín duō guān zhào<br>,
给您添麻烦了,Sorry for causing YOU the trouble!,gěi nín tiān má fan le<br>,
欢迎快请进,"Welcome, please come on in!",huān yíng kuài qǐng jìn<br>,
客人走的时候主人可以说慢走,"When the guests leave, the host can say: Take care",kè rén zǒu de shí hou zhǔ rén kě yǐ shuo màn zǒu,
客人来的时候,When the guests arrive,kè rén lái de shí hou,
回答请问您贵姓的时候,When answering: May I have YOUR last name,huí dá qǐng wèn nín guì xìng de shí hou<br>,
问别人姓名的时候,When asking for someone else's full name,wèn bié ren xìng míng de shí hou<br>,
队,row of people/team/squadran,duì<br>,
衣橱,wardrobe/closet,yī chú<br>,
高跟鞋,High-heeled shoes,gāo gēn xié<br>,
看出,discern/make out,kàn chū<br>,
不同,different/distinct,bù tóng<br>,
发出,to send out/give out/emit,fā chū<br>,
放进,to put in/into,fàng jìn,
走进,to walk in/enter,zǒu jìn<br>,
运动鞋,sneakers/sports shoes,yùn dòng xié,
连衣裙,woman's dress/gown,lián yī qún<br>,
王冠,Crown,Wáng guàn,
她穿起了旗袍,She started wearing the Qipao,tā chuān qǐ le qí páo<br>,
她把连衣裙放回了衣橱,She put the dress back into the closet,tā bǎ lián yī qún fàng huí le yī chú<br>,
我给他寄去了一件羽绒服,I mailed him a down jacket,wǒ gěi tā jì qù le yī jiàn yǔ róng fú,
这件旗袍发出红色的光,This Qipao glows red,zhè jiàn qí páo fā chū hóng sè de guāng<br>,
她从盒子里拿出一双高跟鞋,She took out a pair of heels out from the box,tā cóng hé zi lǐ ná chū yī shuāng gāo gēn xié<br>,
我借来了一条项链,I borrowed a necklace,wǒ jiè lái le yī tiáo xiàng liàn<br>,
她把高跟鞋放进盒子里,She puts the heels in the box,tā bǎ gāo gēn xié fàng jìn hé zi lǐ<br>,
他取下了王冠,He took off the crown (formal),tā qǔ xià le wáng guān,
她戴上了王冠,She put on the crown,tā dài shang le wáng guān,
她穿着高跟鞋走进房间,She walked into the room in heels,tā chuān zhuó gāo gēn xié zǒu jìn fáng jiān<br>,
我的牛仔裤被弟弟拿去了,My jeans were taken away by younger brother,wǒ de niú zǎi kù bèi dì di ná qù le<br>,
她穿上了这双高跟鞋,She put on this pair of heels,tā chuān shang le zhè shuāng gāo gēn xié<br>,
他把旗袍挂进衣橱,He hanged the Qipao in the closet,tā bǎ qí páo guà jìn yī chú<br>,
妈妈寄来了一双运动鞋,Mom mailed (me) a pair of sneakers,mā ma jì lái le yī shuāng yùn dòng xié<br>,
我给弟弟送去了一条牛仔裤,I sent younger brother a pair of jeans,wǒ gěi dì di sòng qù le yī tiáo niú zǎi kù<br>,
姐姐给我送来了一双鞋子,Older sister sent me a pair of boots,jiě jie gěi wǒ sòng lái le yī shuāng xié zi<br>,
我脱下了她的旗袍,I took off her Qipao,wǒ tuō xià le tā de qí páo<br>,
他换回了运动鞋,He switched back to the sneakers,tā huàn huí le yùn dòng xié,
你能看出这两双高跟鞋的不同吗,Can you tell the difference (between) these two pairs of heels?,nǐ néng kàn chū zhè liǎng shuāng gāo gēn xié de bù tóng mǎ<br>,
起来,an action that is bottom to top (towards the speaker),qǐ lai,
爬,to climp/crawl,pá,
灯泡,light bulb,dēng pào,
明信片,postcard,míng xìn piàn<br>,
那个芭蕾舞演员向我走过来了,That ballet dancer walked over toward me,nà ge bā lěi wǔ yǎn yuán xiàng wǒ zǒu guò lái le<br>,
警察把妹妹送回来了,The police sent younger sister back (toward me),jǐng chá bǎ mèi mèi sòng huí lai le<br>,
那个程序员突然跳了起来,That programmer suddenly jumped up,nà ge chéng xù yuán tū rán tiào le qǐ lai<br>,
她把明信片寄出来了,She mailed the post card out (to me),tā bǎ míng xìn piàn jì chū lái le<br>,
他把那盆花搬进来了,He moved that pot of flowers inside (here),tā bǎ nā pén huā bān jìn lái le<br>,
我把灯泡取下来了,I got the light bulb taken down (toward me),wǒ bǎ dēng pào qǔ xià lai le<br>,
孩子突然哭了起来,The child suddenly burst into tears,hái zi tū rán kū le qǐ lai,
弟弟从一楼爬上来了,Younger brother climbed up (toward me) from the first floor,dì di cóng yī lóu pá shàng lái le<br>,
他把钥匙从三楼扔下来了,He threw the keys down (toward me) from the third floor,tā bǎ yào shi cóng sān lóu rēng xià lái le<br>,
主人和客人突然打了起来,The host and the guest suddenly started fighting,zhǔ rén hé kè rén tū rán dá le qǐ lai,
客人从门口走进来了,The guests walked in (toward me) through the door,kè rén cóng mén kǒu zǒu jìn lái le,
我把照片打印出来了,I got the photos printed out (in front of us),wǒ bǎ zhào piàn dǎ yìn chū lái le<br>,
她拿过来了一本书,She brought a book over (to me),tā ná guò lái le yī běn shū<br>,
老王突然坐了起来,Lao Wang suddenly sat up straight,lǎo wáng tū rán zuò le qǐ lai<br>,
快递,package (express delivery),kuài dì,
灯塔,lighthouse,dēng tǎ<br>,
还,give back/return (verb),huán,
他朝那座桥走了过去,He walked over toward that bridge,tā cháo nā zuò qiáo zǒu le guò qù<br>,
那个运动员朝灯塔游了过去,That athlete swam over toward the lighthouse,nà ge yùn dòng yuán cháo dēng tǎ yóu le guò qù<br>,
那个小伙子想从这里跳上去,That young man wants to jump up (there) from here,nà ge xiǎo huǒ zi xiǎng cóng zhè lǐ tiào shàng qù,
请坚持下去,Please keep going! (Don't give up!),qǐng jiān chí xià qù<br>,
球被弟弟扔出去了,The ball was thrown out (there) by younger brother,qiú bèi dì di rēng chū qù le<br>,
请唱下去,Please keep singing!,qǐng chàng xià qù,
爸爸为什么把他送回去了,Why did father send him back (there),bà ba wèi shén me bǎ tā sòng huí qu le<br>,
他的妈妈从这里跑出去了,His mother ran out (there) from here,tā de mā ma cóng zhè lǐ pǎo chū qù le<br>,
你什么时候把书还回去的,When was it that you returned the book?,nǐ shén me shí hou bǎ shū huán huí qu de,
请读下去,Please keep reading,qǐng dú xià qù<br>,
你能帮我把这个盒子放上去吗,Can you help me put this box up (there)?,nǐ néng bāng wǒ bǎ zhè ge hé zi fàng shàng qù mǎ,
你敢从这里跳下去吗,You dare to jump down (there) from here?,nǐ gǎn cóng zhè lǐ tiào xià qù mǎ<br>,
车可以开进去吗,Are cars allowed inside (there)?,chē kě yǐ kāi jìn qù ma<br>,
我刚才跑下去取快递了,I just ran down (there) to pick a package,wǒ gāng cái páo xià qù qǔ kuài dì le,
吧,"use make suggestions or requests (modal particle,soft tone)",ba,
呀,suprise or curiosity (modal particle),ya,
快看下雪啦,"Quickly look, its snowing!",kuài kān xià xuě lā<br>,
我们把它送回去得了,We might as well send it back,wǒ men bǎ tā sòng huí qu dé le<br>,
谁呀,Who (is this?) (suprise),shéi ya<br>,
车牌号这么长小李没记住吧,"The listance plate number is so long, Xiao Li didn't memorize it, did he?",chē pái háo zhè me cháng xiǎo lǐ méi jì zhu bā,
我们到啦,We are here (exclamation),wǒ men dào lā<br>,
我从这里爬上去得了,I might as well climb up from here,wǒ cóng zhè lǐ pá shàng qù de le,
老王呀快请进呀,"Ah, Lao Wang, come on in!",lǎo wáng ya kuài qǐng jìn ya,
今晚不吃饭得了,(I) might as well skip dinner tonight,jīn wǎn bù chī fàn dé le<br>,
天气这么冷他今天不会来了吧,"It so cold, He's not coming today, is he?",tiān qì zhè me lěng tā jīn tiān bù huì lai le bā,
你离他这么远没听清楚吧,"You were so far away from him, (you) didn't hear (him) clearly, did you?",nǐ chī tā zhè me yuǎn méi tīng qīng chǔ bā,
小李呀什么事呀,"Ah, Xiao Li, what is it?",xiǎo lǐ ya shén me shì ya<br>,
新房,Newlywed's bedroom,xīn fáng<br>,
前女朋友,Ex-girlfriend,qián nǚ péng you<br>,
撑,fill to the point of bursting (colloquial),chēng<br>,
你怎么答应得那么痛快,Why did you say yes without hesitation!,nǐ zěn me dā ying dé nà me tòng kuài,
他回答得不太聪明,He didn't reply very cleverly,tā huí dá dé bú tài cōng ming,
她昨天来得挺晚,Yesterday she got (here) quite late,tā zuó tiān lái de tǐng wǎn<br>,
新房布置得很漂亮,The newlywed's bedroom was decorated very beautifully,xīn fáng bù zhì de hěn piào liang<br>,
昨天聚会吃得怎么样,How did (you) like the food at yesterdays party?,zuó tiān jù huì chī dé zěn me yàng<br>,
她的前男朋友在婚礼上喝得怎么样,How has her ex-boryfriend's drinking at the wedding?,tā de qián nán péng you zài hūn lǐ shǎng hē dé zěn me yàng<br>,
小王的生日过得怎么样,How was Xiao Wang's birthday?,xiǎo wáng de shēng rì guò dé zěn me yàng<br>,
他在婚礼上喝得很多,He drank a lot at the wedding&nbsp;,tā zài hūn lǐ shǎng hē de hěn duō,
原来小李跳舞跳得这么棒,As it turns out Xiao Li dances so well!,yuán lái xiǎo lǐ tiào wǔ tiào dé zhè me bàng<br>,
小李怎么走得这么早,How come Xiao Li left so early!,xiǎo lǐ zěn me zǒu dé zhè me zǎo<br>,
昨天聚会吃得很撑,At yesterday's party (I) ate a lot and got very full,zuó tiān jù huì chī de hěn chēng<br>,
他听故事听得一点儿也不认真,He doesnt listen to stories attentively at all,tā tīng gù shì tīng dé yī diǎn er yě bú rèn zhēn<br>,
玫瑰,Rose,méi guī<br>,
花儿,Flower (erhua),huā ér<br>,
儿化,Erhua,ér huà<br>,
包儿,Bag (erhua),bāo ér<br>,
猴儿,Monkey (erhua),hóu ér<br>,
本儿,Notebook (erhua),běn ér,
红色的包儿好看还是黑色的包儿好看,Is the red bag (erhua) or the black one pretty?,hóng sè de bāo ér hǎo kàn hái shi hēi sè de bāo ér hǎo kàn<br>,
放在桌子上的本儿是谁的,Whose is the notebook (erhua) on the table?,fàng zài zhuō zi shǎng de běn ér shì shéi de<br>,
歌儿,Song (erhua),gē er,
红色的包儿比黑色的包儿好看,The red bag (erhua) is prettier than the black one,hóng sè de bāo ér bǐ hēi sè de bāo ér hǎo kàn<br>,
挂在墙上的画儿是谁画的,Who painted the painting hung on the wall?,guà zài qiáng shǎng de huà er shì shéi huà de<br>,
花瓶,Flower vase,huā píng,
书包,Backpack,shū bāo,
计算机语言,Coding language,jì suàn jī yǔ yán<br>,
你不相信我吗,Dont you believe me?,nǐ bù xiāng xìn wǒ mǎ<br>,
这里听不到外面的声音,(I) cant hear the sound from outside here,zhè lǐ tīng bu dào wài miàn de shēng yīn<br>,
这种礼物,This kind of gift,zhè zhǒng lǐ wù,
你看不见我吗,Dont you see me?,nǐ kàn bu jiàn wǒ mā<br>,
一种计算机语言,A coding language,yī zhǒng jì suàn jī yǔ yán,
游泳比赛里他得了第一,He got first place in the swimming contest,yóu yǒng bǐ sài lǐ tā dé le dì yī<br>,
我听不懂你的话,I dont understand what you say,wǒ tīng bu dǒng nǐ de huà<br>,
这样不好,This is not cool,zhè yàng bù hǎo,
一只小狗从门口走了进来,A puppy walked in through the door,yī zhǐ xiǎo gǒu cóng mén kǒu zǒu le jìn lái,
你说得不对,What you said is not correct,nǐ shuì dé bú duì<br>,
我星期五不在家,Im not home on Friday,wǒ xīng qī wǔ bú zài jiā,
我学不会这种语言,I cant learn this language,wǒ xué bú huì zhè zhǒng yǔ yán,
并,Actually... (strengthen negation),bìng<br>,
一遍,one time(all the way through)/once through,yī biàn<br>,
请你重新写一遍,Please you write (it) again,yī biàn qǐng nǐ chóng xīn xiě yī biàn,
我仍然在一家公司做程序员,I'm still (formal) working for a company as a programmer,wǒ réng rán zài yī jiā gōng sī zuò chéng xù yuán<br>,
三年了她仍然在等你,"Its been three years, and she's still (formal) waiting for you",sān nián le tā réng rán zài děng nǐ<br>,
他的眼睛这么红刚才肯定哭了,"His eyes are so red, (He) must have just cried",tā de yǎn jing zhè me hóng gāng cái kěn dìng kū le,
我本来计划去日本,I was originally planning on going to Japan,wǒ běn lái jì huà qù rì běn<br>,
那个人永远离开了,That person is gone forever,nà gè rén yǒng yuǎn lí kāi le<br>,
天这么黑一会儿肯定下雨,"The sky is so dark, it must rain in a while",tiān zhè me hēi yī huì er kěn dìng xià yǔ<br>,
我并不会说英文,Actually I don't speak english,wǒ bìng bú huì shuì yīng wén<br>,
我本来想周末去她家,I was originally thinking about going to Her place on the weekend,wǒ běn lái xiǎng zhōu mò qù tā jiā<br>,
天终于晴啦,The sky is finally clear!,tiān zhōng yú qíng lā<br>,
我本来没打算请他,I didnt intend on inviting him,wǒ běn lái méi dǎ suàn qǐng tā<br>,
上下,around/about,shàng xià<br>,
前后,about/around,qián hòu<br>,
至于价格嘛五百块钱左右吧,"As for the price, (its) around 500 Yuan",zhì yú jià gé ma wǔ bǎi kuài qián zuǒ yòu bā<br>,
每件衬衫五百块钱左右,Each shirt is around 500 Yuan,měi jiàn chèn shān wǔ bǎi kuài qián zuǒ yòu<br>,
昨天来了一位一米八左右的顾客,A customer who was about 1.8m tall came yesterday,zuó tiān lái le yī wèi yī mǐ bā zuǒ yòu de gù kè<br>,
十多件衬衫花了一千多块钱,More than ten shirts cost over a thousand Yuan,shí duō jiàn chèn shān huā le yī qiān duō kuài qián<br>,
我想给我的男朋友买一件衬衫,I would like to buy a shirt for my boyfriend&nbsp;,wǒ xiǎng gěi wǒ de nán péng you mǎi yī jiàn chèn shān<br>,
那位顾客买了十多件这种衬衫,That customer bought more than ten shirts of this kind,nā wèi gù kè mǎi le shí duō jiàn zhè zhǒng chèn shān<br>,
至于颜色嘛白色或者蓝色都行,"As for the colour, either white of blue would do",zhì yú yán sè ma bái sè huò zhě lán sè doū xíng<br>,
他一米八左右,He is about 1.8m,tā yī mǐ bā zuǒ yòu<br>,
他多高,How tall is he?,tā duō gāo<br>,
工作日,workday,gōng zuò rì<br>,
商场,Shopping mall,shāng chǎng<br>,
精明,astute/shrewd,jīng míng<br>,
拎,to lift,līn<br>,
大包小包,(shopping) bags,dà bāo xiǎo bāo<br>,
排,line up/arrange/put in order,pái<br>,
虽然价格便宜了一半但是质量一样好,"Although the price got half as cheap, the quality is as good (as before)",suī rán jià gé biàn yí le yī bàn dàn shì zhì liàng yī yàng hǎo<br>,
很多精明的顾客在这时候疯狂购物,Many shrewd customers go on a shopping spree at this time,hěn duō jīng míng de gù kè zài zhè shí hòu fēng kuáng gòu wù<br>,
蓝衬衫的质量反而比白衬衫好,Instead the quality of the blue shirts is better than the white shirts,lán chèn shān de zhì liàng fǎn ér bǐ bái chèn shān hǎo<br>,
工作日的顾客反而比周末多,Instead there are more customers on weekdays than on weekends,gōng zuò rì de gù kè fǎn ér bǐ zhōu mò duō<br>,
春节之后的商场售货员反而比之前更忙,Instead the mall salespersons are busier after the Spring Festival than before,chūn jié zhī hòu de shāng chǎng shòu huò yuán fǎn ér bǐ zhī qián gēng máng<br>,
春节之后的商场顾客反而比之前多,Instead there are more customers in the malls after the Spring Festival than before,chūn jié zhī hòu de shāng chǎng gù kè fǎn ér bǐ zhī qián duō<br>,
湖,Lake,hú<br>,
长江比黄河长多了,The Yangze River is much longer than the Yellow River,cháng jiāng bǐ huáng hé cháng duō le<br>,
大海和湖哪个更深一点儿,A sea and a lake which one is deeper?,dà hǎi hé hú nǎ ge gēng shēn yī diǎn er<br>,
森林没有沙漠大,A forest is not as large as a desert,sēn lín méi yǒu shā mò dà<br>,
黄河比长江短多了,The Yellow River is much shorter than the Yangtze River,huáng hé bǐ cháng jiāng duǎn duō le<br>,
中国西部没有东部热,Western China is not as warm as eastern China,zhōng guó xī bù méi yǒu dōng bù rè<br>,
长江和黄河哪个更长一点儿,"The Yangtze River and the Yellow River, which one is longer?",cháng jiāng hé huáng hé nǎ ge gēng cháng yī diǎn er<br>,
今年夏天南方和北方一样热,"This summer, the south is as hot as the north",jīn nián xià tiān nán fāng hé běi fāng yī yàng rè<br>,
中国南方没有北方冷,Southern China is not as cold as northern China,zhōng guó nán fāng méi yǒu běi fāng lěng<br>,
积雪,Snow (accumulated),jī xuě<br>,
雪花,Snowflake,xuě huā<br>,
暴风雪,snowstorm/blizzard,bào fēng xuě<br>,
气温,Air temperature,qì wēn<br>,
飘落,to float down,piāo luò<br>,
将,will/be going to/shall,jiāng<br>,
天越来越暗,The sky is getting darker and darker,tiān yuè lái yuè àn<br>,
每个季节的天气都不同,The weather of every season is different,měi gè jì jié de tiān qì dū bù tóng<br>,
我想知道明天是不是刮风,I want to know wether it will be windy tomorrow,wǒ xiǎng zhī dào míng tiān shì bú shì guā fēng<br>,
风刮得越来越大,The wind is getting stronger and stronger,fēng guā dé yuè lái yuè dà<br>,
地上的积雪变得越来越厚,The snow on the ground is becoming thicker and thicker,dì shang de jī xuě biàn de yuè lái yuè hòu<br>,
云越来越厚,The clouds are getting thicker and thicker,yún yuè lái yuè hòu<br>,
气温变得越来越低,The air temperature is becoming getting lower and lower,qì wēn biàn de yuè lái yuè dī<br>,
这将是一场暴风雪,This will be a blizzard,zhè jiāng shì yī cháng bào fēng xuě<br>,
白色的雪花开始飘落,The white snowflakes started to fall,bái sè de xuě huā kāi shǐ piāo luò<br>,
我每天都看天气预报,I watch the weather forecast every day,wǒ měi tiān dū kān tiān qì yù bào<br>,
外面开始刮风了,It started to get windy outside,wài miàn kāi shǐ guā fēng le<br>,
我喜欢四季变化,I like the change of (four) seasons,wǒ xǐ huan sì jì biàn huà<br>,
不同的季节进行不同的运动,(People) play different sports in different seasons,bù tóng de jì jié jìn xíng bù tóng de yùn dòng<br>,
飓风,hurricane,jù fēng<br>,
暴雨,rainstorm,bào yǔ<br>,
级,level/grade&nbsp;(school)/rank,jí<br>,
达,reach/amount to/extend,dá<br>,
凉爽,nice and cool/pleasently cool,liáng shuǎng<br>,
冬眠,to hibernate/hibernation,dōng mián<br>,
短暂,of short duration/brief,duǎn zàn<br>,
寒冷,cold (climate)/frigid,hán lěng<br>,
度,degrees (mw),dù<br>,
树叶,leaves,shù yè<br>,
北极的夏天短暂而凉爽,&nbsp;North Pole's summer is short and cool,běi jí de xià tiān duǎn zàn ér liáng shuǎng<br>,
一到秋天树叶就变黄了,Leaves turn yellow as soon as autumn comes,yī dào qiū tiān shù yè jiù biàn huáng le<br>,
一到春天冬眠的动物就醒了,The hibernating animals wake up as soon as the spring comes,yī dào chūn tiān dōng mián de dòng wù jiù xǐng le<br>,
一到夏天这里的气温就超过三十度,The temperature here rises above 30 degrees as soon as summer comes,yī dào xià tiān zhè lǐ de qì wēn jiù chāo guò sān shí dù<br>,
据天气预报说二十四小时内极可能有一场暴雪,"According to the weather forcast, it's highly possible that there will be a snowstorm in 24 hours",jù tiān qì yù bào shuō&nbsp;èr shí sì xiǎo shí nèi jí kě néng yǒu yī cháng bào xuě<br>,
据天气预报说这场暴雨极可能持续二十四小时,"According to the weather forecast, this rainstorm is very likely to last 24 hours",jù tiān qì yù bào shuō zhè cháng bào yǔ jí kě néng chí xù èr shí sì xiǎo shí<br>,
据天气预报说飓风极可能达到十二级,"According to the weather forecast, the hurricane is very likely to reach level 12",jù tiān qì yù bào shuō&nbsp;jù fēng jí kě néng dá dào shí èr jí,
飓风之前天气一点儿也不凉爽,"Before the hurricane, the weather was not cool at all",jù fēng zhī qián tiān qì yī diǎn er yě bù liáng shuǎng<br>,
暴雪之后天气暖和一点儿了,After the snow storm the weather warmed up a little,bào xuě zhī hòu tiān qì nuǎn huo yī diǎn er le<br>,
北极只有夏天和冬天两个季节,"The North Pole has only two seasons, summer and winter",běi jí zhǐ yǒu xià tiān hé dōng tiān liǎng gè jì jié<br>,
零下,Below zero,líng xià<br>,
结冰,to freeze/ice over,jié bīng<br>,
户外运动,Outdoor sports,hù wài yùn dòng<br>,
忽然,suddenly/all of a sudden,hū rán<br>,
这几天的天气时好时坏,These days the weather is sometimes good and sometimes bad&nbsp;,zhè jǐ tiān de tiān qì shí hǎo shí huài<br>,
最近的气温时高时低,Recently the temperature is sometimes high and sometimes low,zuì jìn de qì wēn shí gāo shí dī<br>,
外面下暴雨现在显然不适合户外运动,"It's storming outside, now is obviously not a good time for outdoor sports",wài miàn xià bào yǔ xiàn zài xiǎn rán bú shì hé hù wài yùn dòng<br>,
他只穿了一件衬衫显然很冷,"He is only wearing a shirt, obviously (he is) cold",tā zhǐ chuān le yī jiàn chèn shān xiǎn rán hěn lěng<br>,
今天的天气预报显然错了,Today's weather forecast was obviously wrong,jīn tiān de tiān qì yù bào xiǎn rán cuò le<br>,
忽然天空中出现一道闪电,"Suddenly, a bolt of lightning appeared in the sky",hū rán tiān kōng zhōng chū xiàn yī dào shǎn diàn<br>,
外面的雨忽大忽小,The rain outside shifts between heavy and light,wài miàn de yǔ hū dà hū xiǎo<br>,
忽然打雷了,"Suddenly, it thundered",hū rán dǎ léi le<br>,
春天居然下起雪来了,"Suprisingly, it started snowing in spring",chūn tiān jū rán xià qǐ xuě lái le<br>,
气温零下十度这条河居然没有结冰,"The temperature is -10 degrees, (but) this river is suprisingly not frozen",qì wēn líng xià shí dù zhè tiáo hé jū rán méi yǒu jié bīng<br>,
长颈鹿,Giraffe,cháng jǐng lù<br>,
鳄鱼,crocodile/alligator,è yú<br>,
草原,Savannah,cǎo yuán<br>,
强壮,Strong,qiáng zhuàng<br>,
各种各样,various kinds/all sorts,gè zhǒng gè yàng<br>,
浓密,dense/murky/thick,nóng mì<br>,
鬃毛,mane (eg lion's),zōng máo<br>,
灵巧,nimble/skillful/deft,líng qiǎo<br>,
斑点,spot/stain/speckle,bān diǎn<br>,
火烈鸟,Flamingo,huǒ liè niǎo<br>,
骆驼,Camel,luò tuo<br>,
松鼠,Squirrel,sōng shǔ<br>,
树洞,A Tree hole&nbsp;,shù dòng<br>,
毛茸茸,fluffy/hairy/shaggy,máo rōng rōng<br>,
羽毛,feathers/plumage,yǔ máo<br>,
驼峰,hump (camel/transportation)/hunchbacked,tuó fēng<br>,
狮子有浓密的鬃毛,Lions have thick manes,shī zǐ yǒu nóng mì de zōng máo<br>,
长颈鹿有漂亮的斑点,Giraffes have beautiful spots (on their body),cháng jǐng lù yǒu piào liang de bān diǎn<br>,
大象有灵巧的鼻子,Elephants have nimble trunks,dà xiàng yǒu líng qiǎo de bí zi<br>,
松鼠住在树洞里,Squirrels live in tree holes,sōng shǔ zhù zài shù dòng lǐ<br>,
地球上生活着各种各样的动物,There are all kinds of animals living on earth,dì qiú shǎng shēng huó zhāo gè zhǒng gè yàng de dòng wù<br>,
鳄鱼生活在水里,Crocodiles live in water,è yú shēng huó zài shuǐ lǐ<br>,
什么动物生活在沼泽里,What animals live in swamps?,shén me dòng wù shēng huó zài zhǎo zé lǐ<br>,&nbsp;
