种,type; breed; race; seed,zhǒng,[sound:种.mp3]
盘子里的菠萝酸得要命,The pineapple on the plate is sour as hell&nbsp;,pán zi lǐ de bō luó suān de yào mìng,[sound:盘子里的菠萝酸得要命.mp3]
客人说这道菜咸得不得了,The guests said this dish was extremely salty,kè rén shuì zhè dào cài xián dé bù dé liǎo,[sound:客人说这道菜咸得不得了.mp3]
这道菜不咸也不淡,This dish is neither salty nor bland,zhè dào cài bù xián yě bú dàn,[sound:这道菜不咸也不淡.mp3]
奶奶种的葡萄甜得很,The grapes my grandma (mother side) grows are super sweet,nǎi nai zhǒng de pú tao tián de hěn,[sound:奶奶种的葡萄甜得很.mp3]
树上的葡萄酸得很,The grapes on the tree are super sour,shù shǎng de pú tao suān de hěn,[sound:树上的葡萄酸得很.mp3]
你买的苹果酸的酸甜的甜,"The apples you bought, some are sour, and some are sweet",nǐ mǎi de píng guǒ suān de suān tián de tián,[sound:你买的苹果酸的酸甜的甜.mp3]
她做的鱼香得不得了,The fish she makes is extremely delicious (appetizing),tā zuò de yú xiāng dé bù dé liǎo,[sound:她做的鱼香得不得了.mp3]
那些牛油果生的生熟的熟,"Those avocados, some are unripe and some are ripe",nà xiē niú yóu guǒ shēng de shēng shú de shú,[sound:那些牛油果生的生熟的熟.mp3]
我的妈呀,oh my god,wǒ de mā ya,[sound:我的妈呀.mp3]
天哪,oh my gosh,tiān na,[sound:天哪.mp3]
竟然,unexpectedly/suprisingly,jìng rán,[sound:竟然.mp3]
小气,mean/petty,xiǎo qì,[sound:小气.mp3]
天哪你的头发这么乱,"oh my gosh, your hair is such a mess",tiān na nǐ de tóu fa zhè me luàn,[sound:天哪你的头发这么乱.mp3]
你怎么这么唠叨,Why are you so nagging,nǐ zěn me zhè me láo dao,[sound:你怎么这么唠叨.mp3]
你今天怎么这么漂亮,How come you are so pretty today,nǐ jīn tiān zěn me zhè me piào liang,[sound:你今天怎么这么漂亮.mp3]
你男朋友竟然这么小气,Your boyfriend is so surprisingly mean,nǐ nán péng you jìng rán zhè me xiǎo qì,[sound:你男朋友竟然这么小气.mp3]
丽丽多么漂亮,How pretty Lili is!,lì lì duō me piào liang,[sound:丽丽多么漂亮.mp3]
我家离你家竟然这么近,My house and your house are so surprisingly close!,wǒ jiā lí nǐ jiā jìng rán zhè me jìn,[sound:我家离你家竟然这么近.mp3]
那辆车怎么这么破,How come that car is in such a bad shape!,nà&nbsp;liàng chē zěn me zhè me pò,[sound:那辆车怎么这么破.mp3]
我的妈呀马老这么严格,"Oh my God, Ma Lao is so strict!",wǒ de mā ya mǎ lǎo zhè me yán gé,[sound:我的妈呀马老这么严格.mp3]
那个小伙子多么帅,How handsome that young man is!,nà ge xiǎo huǒ zi duō me shuài,[sound:那个小伙子多么帅.mp3]
烤,to bake/roast,kǎo,[sound:烤.mp3]
下棋,to play chess,xià qí,[sound:下棋.mp3]
修,to repair,xiū,[sound:修.mp3]
妈妈在厨房里烤面包,Mom is baking bread in the kitchen,mā ma zài chú fáng lǐ kǎo miàn bāo,[sound:妈妈在厨房里烤面包.mp3]
安静孩子还睡着,"Quiet, the child is still sleeping",ān jìng hái zi hái shuì zhe,[sound:安静孩子还睡着.mp3]
大家尝面包了吗,Has everyone tasted the bread?,dà jiā cháng miàn bāo le mǎ,[sound:大家尝面包了吗.mp3]
天还黑着,It is still dark,tiān hái hēi zhe,[sound:天还黑着.mp3]
路还远着,There's still a long way (to go),lù hái yuǎn zhe,[sound:路还远着.mp3]
我醒了但还躺着,I'm awake but still lying (in bed),wǒ xǐng le dàn hái tǎng zhe,[sound:我醒了但还躺着.mp3]
你还想着她,You are still thinking about her,nǐ hái xiǎng zhe tā,[sound:你还想着她.mp3]
院子干净了吗,Is the yard clean yet?,yuàn zi gān jìng le ma,[sound:院子干净了吗.mp3]
面包还烤着,The bead is still in the oven (baking),miàn bāo hái kǎo zhe,[sound:面包还烤着.mp3]
她还打扫着,She is still cleaning (it),tā huán dǎ sǎo zhe,[sound:她还打扫着.mp3]
面包还热着,The bread is still warm,miàn bāo huán rè zhe,[sound:面包还热着.mp3]
我在和他下棋,I am playing chess with him,wǒ zài hé tā xià qí,[sound:我在和他下棋.mp3]
雪还下着,It is still snowing,xuě hái xià zhe,[sound:雪还下着.mp3]
我和他在玩游戏,Me and him are playing games,wǒ hé tā zài wán yóu xì,[sound:我和他在玩游戏.mp3]
记住,to fully memorize something,jì zhu,[sound:记住.mp3]
大海,The sea,dà hǎi,[sound:大海.mp3]
星空,Starry sky,xīng kōng,[sound:星空.mp3]
车牌,license plate,chē pái,[sound:车牌.mp3]
看清楚,to see clearly,kàn qīng chǔ,[sound:看清楚.mp3]
看明白,to see and understand,kān míng bai,[sound:看明白.mp3]
早就,already at an earlier time,zǎo jiù,[sound:早就.mp3]
今天的工作我也没做完,I didn't finish today's work either,jīn tiān de gōng zuò yě méi zuò wán,[sound:今天的工作我也没做完.mp3]
那辆车的车牌你看清楚了吗,"That car's license plate, did you see it clearly?",nà liàng chē de chē pái nǐ kàn qīng chǔ le ma,[sound:那辆车的车牌你看清楚了吗.mp3]
我找到了日记却没找到回忆,I found the journal however (I) didn't find the memories,wǒ zhǎo dào le rì jì què méi zhǎo dào huí yì,[sound:我找到了日记却没找到回忆.mp3]
你们看到大海了吗,Did you guys see the ocean?,nǐ men kān dào dà hǎi le ma,[sound:你们看到大海了吗.mp3]
谁回答错了,Who answered it wrong?,shéi huí dá cuò le,[sound:谁回答错了.mp3]
每个人都回答错了,Everyone answered (it) wrong,měi ge rén dū huí dá cuò le,[sound:每个人都回答错了.mp3]
我没记住,I didn't memorize it,wǒ méi jì zhu,[sound:我没记住.mp3]
只有我一个人没听明白吗,Am I the only one who didn't understand (hearing) it?,zhǐ yǒu wǒ yī gè rén méi tīng míng bai ma,[sound:只有我一个人没听明白吗.mp3]
这道题我没做对,I didn't get this question right,zhè dào tí wǒ méi zuò duì,[sound:这道题我没做对.mp3]
饭早就做好了,The meal has long been ready,fàn zǎo jiù zuò hǎo le,[sound:饭早就做好了.mp3]
设计师,designer,shè jì shī,[sound:设计师.mp3]
在下,myself (humble),zài xià,[sound:在下.mp3]
程序员,Programmer,chéng xù yuán,[sound:程序员.mp3]
职员,office worker,zhí yuán,[sound:职员.mp3]
运动员,Athlete,yùn dòng yuán,[sound:运动员.mp3]
您退休了吗,have YOU retired?,nín tuì xiū le ma,[sound:您退休了吗.mp3]
家兄是一名程序员,My older brother (humble) is a programmer,jiā xiōng shì yī míng chéng xù yuán,[sound:家兄是一名程序员.mp3]
在下免贵姓王,My (humble) last name is Wang,zài xià miǎn guì xìng wáng,[sound:在下免贵姓王.mp3]
请问贵公司在招聘吗,"Excuse me, is YOUR company hiring?",qǐng wèn guì gōng sī zài zhāo pìn ma,[sound:请问贵公司在招聘吗.mp3]
请问贵国的大使馆周末上班吗,"Excuse me, is YOUR country's embassy open on weekends?",qǐng wèn guì guó de dà shǐ guǎn zhōu mò shàng bān ma,[sound:请问贵国的大使馆周末上班吗.mp3]
请问您贵姓,"Excuse me, may i have YOUR last name?",qǐng wèn nín guì xìng,[sound:请问您贵姓.mp3]
您在哪里上班,Where do YOU work?,nín zài nǎ lǐ shàng bān,[sound:您在哪里上班.mp3]
家父也是一名公司职员,My father (humble) is also an office clerk,jiā fù yě shì yī míng gōng sī zhí yuán,[sound:家父也是一名公司职员.mp3]
我下星期能参观贵校吗,May I visit YOUR school (short) next week?,wǒ xià xīng qī néng cān guān guì xiào ma,[sound:我下星期能参观贵校吗.mp3]
家母是一名演员,My mother (humble) is an actress,jiā mǔ shì yī míng yǎn yuán,[sound:家母是一名演员.mp3]
姓名,Full name,xìng míng,[sound:姓名.mp3]
拜托您了,(I) appreciate YOUR help,bài tuō nín le,[sound:拜托您了.mp3]
再会,See you!,zài huì,[sound:再会.mp3]
您慢走,YOU take care!,nín màn zǒu,[sound:您慢走.mp3]
祝贺你,Congratulations (to you)! (formal),zhù hè nǐ,[sound:祝贺你.mp3]
对不起让您久等了,Sorry to keep YOU wating! (formal),duì bu qǐ ràng nín jiǔ děng le,[sound:对不起让您久等了.mp3]
请稍等,Please wait a moment! (formal),qǐng shāo děng,[sound:请稍等.mp3]
请您多关照,Please look out for me (if you would be so kind)!,qǐng nín duō guān zhào,[sound:请您多关照.mp3]
给您添麻烦了,Sorry for causing YOU the trouble!,gěi nín tiān má fan le,[sound:给您添麻烦了.mp3]
欢迎快请进,"Welcome, please come on in!",huān yíng kuài qǐng jìn,[sound:欢迎快请进.mp3]
客人走的时候主人可以说慢走,"When the guests leave, the host can say: Take care",kè rén zǒu de shí hou zhǔ rén kě yǐ shuo màn zǒu,[sound:客人走的时候主人可以说慢走.mp3]
客人来的时候,When the guests arrive,kè rén lái de shí hou,[sound:客人来的时候.mp3]
回答请问您贵姓的时候,When answering: May I have YOUR last name,huí dá qǐng wèn nín guì xìng de shí hou,[sound:回答请问您贵姓的时候.mp3]
问别人姓名的时候,When asking for someone else's full name,wèn bié ren xìng míng de shí hou,[sound:问别人姓名的时候.mp3]
队,row of people/team/squadran,duì,[sound:队.mp3]
衣橱,wardrobe/closet,yī chú,[sound:衣橱.mp3]
高跟鞋,High-heeled shoes,gāo gēn xié,[sound:高跟鞋.mp3]
看出,discern/make out,kàn chū,[sound:看出.mp3]
不同,different/distinct,bù tóng,[sound:不同.mp3]
发出,to send out/give out/emit,fā chū,[sound:发出.mp3]
放进,to put in/into,fàng jìn,[sound:放进.mp3]
走进,to walk in/enter,zǒu jìn,[sound:走进.mp3]
运动鞋,sneakers/sports shoes,yùn dòng xié,[sound:运动鞋.mp3]
连衣裙,woman's dress/gown,lián yī qún,[sound:连衣裙.mp3]
王冠,Crown,Wáng guàn,[sound:王冠.mp3]
她穿起了旗袍,She started wearing the Qipao,tā chuān qǐ le qí páo,[sound:她穿起了旗袍.mp3]
她把连衣裙放回了衣橱,She put the dress back into the closet,tā bǎ lián yī qún fàng huí le yī chú,[sound:她把连衣裙放回了衣橱.mp3]
我给他寄去了一件羽绒服,I mailed him a down jacket,wǒ gěi tā jì qù le yī jiàn yǔ róng fú,[sound:我给他寄去了一件羽绒服.mp3]
这件旗袍发出红色的光,This Qipao glows red,zhè jiàn qí páo fā chū hóng sè de guāng,[sound:这件旗袍发出红色的光.mp3]
她从盒子里拿出一双高跟鞋,She took out a pair of heels out from the box,tā cóng hé zi lǐ ná chū yī shuāng gāo gēn xié,[sound:她从盒子里拿出一双高跟鞋.mp3]
我借来了一条项链,I borrowed a necklace,wǒ jiè lái le yī tiáo xiàng liàn,[sound:我借来了一条项链.mp3]
她把高跟鞋放进盒子里,She puts the heels in the box,tā bǎ gāo gēn xié fàng jìn hé zi lǐ,[sound:她把高跟鞋放进盒子里.mp3]
他取下了王冠,He took off the crown (formal),tā qǔ xià le wáng guān,[sound:他取下了王冠.mp3]
她戴上了王冠,She put on the crown,tā dài shang le wáng guān,[sound:她戴上了王冠.mp3]
她穿着高跟鞋走进房间,She walked into the room in heels,tā chuān zhuó gāo gēn xié zǒu jìn fáng jiān,[sound:她穿着高跟鞋走进房间.mp3]
我的牛仔裤被弟弟拿去了,My jeans were taken away by younger brother,wǒ de niú zǎi kù bèi dì di ná qù le,[sound:我的牛仔裤被弟弟拿去了.mp3]
她穿上了这双高跟鞋,She put on this pair of heels,tā chuān shang le zhè shuāng gāo gēn xié,[sound:她穿上了这双高跟鞋.mp3]
他把旗袍挂进衣橱,He hanged the Qipao in the closet,tā bǎ qí páo guà jìn yī chú,[sound:他把旗袍挂进衣橱.mp3]
妈妈寄来了一双运动鞋,Mom mailed (me) a pair of sneakers,mā ma jì lái le yī shuāng yùn dòng xié,[sound:妈妈寄来了一双运动鞋.mp3]
我给弟弟送去了一条牛仔裤,I sent younger brother a pair of jeans,wǒ gěi dì di sòng qù le yī tiáo niú zǎi kù,[sound:我给弟弟送去了一条牛仔裤.mp3]
姐姐给我送来了一双鞋子,Older sister sent me a pair of boots,jiě jie gěi wǒ sòng lái le yī shuāng xié zi,[sound:姐姐给我送来了一双鞋子.mp3]
我脱下了她的旗袍,I took off her Qipao,wǒ tuō xià le tā de qí páo,[sound:我脱下了她的旗袍.mp3]
他换回了运动鞋,He switched back to the sneakers,tā huàn huí le yùn dòng xié,[sound:他换回了运动鞋.mp3]
你能看出这两双高跟鞋的不同吗,Can you tell the difference (between) these two pairs of heels?,nǐ néng kàn chū zhè liǎng shuāng gāo gēn xié de bù tóng mǎ,[sound:你能看出这两双高跟鞋的不同吗.mp3]
起来,an action that is bottom to top (towards the speaker),qǐ lai,[sound:起来.mp3]
爬,to climp/crawl,pá,[sound:爬.mp3]
灯泡,light bulb,dēng pào,[sound:灯泡.mp3]
明信片,postcard,míng xìn piàn,[sound:明信片.mp3]
那个芭蕾舞演员向我走过来了,That ballet dancer walked over toward me,nà ge bā lěi wǔ yǎn yuán xiàng wǒ zǒu guò lái le,[sound:那个芭蕾舞演员向我走过来了.mp3]
警察把妹妹送回来了,The police sent younger sister back (toward me),jǐng chá bǎ mèi mèi sòng huí lai le,[sound:警察把妹妹送回来了.mp3]
那个程序员突然跳了起来,That programmer suddenly jumped up,nà ge chéng xù yuán tū rán tiào le qǐ lai,[sound:那个程序员突然跳了起来.mp3]
她把明信片寄出来了,She mailed the post card out (to me),tā bǎ míng xìn piàn jì chū lái le,[sound:她把明信片寄出来了.mp3]
他把那盆花搬进来了,He moved that pot of flowers inside (here),tā bǎ nā pén huā bān jìn lái le,[sound:他把那盆花搬进来了.mp3]
我把灯泡取下来了,I got the light bulb taken down (toward me),wǒ bǎ dēng pào qǔ xià lai le,[sound:我把灯泡取下来了.mp3]
孩子突然哭了起来,The child suddenly burst into tears,hái zi tū rán kū le qǐ lai,[sound:孩子突然哭了起来.mp3]
弟弟从一楼爬上来了,Younger brother climbed up (toward me) from the first floor,dì di cóng yī lóu pá shàng lái le,[sound:弟弟从一楼爬上来了.mp3]
他把钥匙从三楼扔下来了,He threw the keys down (toward me) from the third floor,tā bǎ yào shi cóng sān lóu rēng xià lái le,[sound:他把钥匙从三楼扔下来了.mp3]
主人和客人突然打了起来,The host and the guest suddenly started fighting,zhǔ rén hé kè rén tū rán dá le qǐ lai,[sound:主人和客人突然打了起来.mp3]
客人从门口走进来了,The guests walked in (toward me) through the door,kè rén cóng mén kǒu zǒu jìn lái le,[sound:客人从门口走进来了.mp3]
我把照片打印出来了,I got the photos printed out (in front of us),wǒ bǎ zhào piàn dǎ yìn chū lái le,[sound:我把照片打印出来了.mp3]
她拿过来了一本书,She brought a book over (to me),tā ná guò lái le yī běn shū,[sound:她拿过来了一本书.mp3]
老王突然坐了起来,Lao Wang suddenly sat up straight,lǎo wáng tū rán zuò le qǐ lai,[sound:老王突然坐了起来.mp3]
快递,package (express delivery),kuài dì,[sound:快递.mp3]
灯塔,lighthouse,dēng tǎ,[sound:灯塔.mp3]
还,give back/return (verb),huán,[sound:还.mp3]
他朝那座桥走了过去,He walked over toward that bridge,tā cháo nā zuò qiáo zǒu le guò qù,[sound:他朝那座桥走了过去.mp3]
那个运动员朝灯塔游了过去,That athlete swam over toward the lighthouse,nà ge yùn dòng yuán cháo dēng tǎ yóu le guò qù,[sound:那个运动员朝灯塔游了过去.mp3]
那个小伙子想从这里跳上去,That young man wants to jump up (there) from here,nà ge xiǎo huǒ zi xiǎng cóng zhè lǐ tiào shàng qù,[sound:那个小伙子想从这里跳上去.mp3]
请坚持下去,Please keep going! (Don't give up!),qǐng jiān chí xià qù,[sound:请坚持下去.mp3]
球被弟弟扔出去了,The ball was thrown out (there) by younger brother,qiú bèi dì di rēng chū qù le,[sound:球被弟弟扔出去了.mp3]
请唱下去,Please keep singing!,qǐng chàng xià qù,[sound:请唱下去.mp3]
爸爸为什么把他送回去了,Why did father send him back (there),bà ba wèi shén me bǎ tā sòng huí qu le,[sound:爸爸为什么把他送回去了.mp3]
他的妈妈从这里跑出去了,His mother ran out (there) from here,tā de mā ma cóng zhè lǐ pǎo chū qù le,[sound:他的妈妈从这里跑出去了.mp3]
你什么时候把书还回去的,When was it that you returned the book?,nǐ shén me shí hou bǎ shū huán huí qu de,[sound:你什么时候把书还回去的.mp3]
请读下去,Please keep reading,qǐng dú xià qù,[sound:请读下去.mp3]
你能帮我把这个盒子放上去吗,Can you help me put this box up (there)?,nǐ néng bāng wǒ bǎ zhè ge hé zi fàng shàng qù mǎ,[sound:你能帮我把这个盒子放上去吗.mp3]
你敢从这里跳下去吗,You dare to jump down (there) from here?,nǐ gǎn cóng zhè lǐ tiào xià qù mǎ,[sound:你敢从这里跳下去吗.mp3]
车可以开进去吗,Are cars allowed inside (there)?,chē kě yǐ kāi jìn qù ma,[sound:车可以开进去吗.mp3]
我刚才跑下去取快递了,I just ran down (there) to pick a package,wǒ gāng cái páo xià qù qǔ kuài dì le,[sound:我刚才跑下去取快递了.mp3]
吧,"use make suggestions or requests (modal particle,soft tone)",ba,[sound:吧.mp3]
呀,suprise or curiosity (modal particle),ya,[sound:呀.mp3]
快看下雪啦,"Quickly look, its snowing!",kuài kān xià xuě lā,[sound:快看下雪啦.mp3]
我们把它送回去得了,We might as well send it back,wǒ men bǎ tā sòng huí qu dé le,[sound:我们把它送回去得了.mp3]
谁呀,Who (is this?) (suprise),shéi ya,[sound:谁呀.mp3]
车牌号这么长小李没记住吧,"The listance plate number is so long, Xiao Li didn't memorize it, did he?",chē pái háo zhè me cháng xiǎo lǐ méi jì zhu bā,[sound:车牌号这么长小李没记住吧.mp3]
我们到啦,We are here (exclamation),wǒ men dào lā,[sound:我们到啦.mp3]
我从这里爬上去得了,I might as well climb up from here,wǒ cóng zhè lǐ pá shàng qù de le,[sound:我从这里爬上去得了.mp3]
老王呀快请进呀,"Ah, Lao Wang, come on in!",lǎo wáng ya kuài qǐng jìn ya,[sound:老王呀快请进呀.mp3]
今晚不吃饭得了,(I) might as well skip dinner tonight,jīn wǎn bù chī fàn dé le,[sound:今晚不吃饭得了.mp3]
天气这么冷他今天不会来了吧,"It so cold, He's not coming today, is he?",tiān qì zhè me lěng tā jīn tiān bù huì lai le bā,[sound:天气这么冷他今天不会来了吧.mp3]
你离他这么远没听清楚吧,"You were so far away from him, (you) didn't hear (him) clearly, did you?",nǐ chī tā zhè me yuǎn méi tīng qīng chǔ bā,[sound:你离他这么远没听清楚吧.mp3]
小李呀什么事呀,"Ah, Xiao Li, what is it?",xiǎo lǐ ya shén me shì ya,[sound:小李呀什么事呀.mp3]
新房,Newlywed's bedroom,xīn fáng,[sound:新房.mp3]
前女朋友,Ex-girlfriend,qián nǚ péng you,[sound:前女朋友.mp3]
撑,fill to the point of bursting (colloquial),chēng,[sound:撑.mp3]
你怎么答应得那么痛快,Why did you say yes without hesitation!,nǐ zěn me dā ying dé nà me tòng kuài,[sound:你怎么答应得那么痛快.mp3]
他回答得不太聪明,He didn't reply very cleverly,tā huí dá dé bú tài cōng ming,[sound:他回答得不太聪明.mp3]
她昨天来得挺晚,Yesterday she got (here) quite late,tā zuó tiān lái de tǐng wǎn,[sound:她昨天来得挺晚.mp3]
新房布置得很漂亮,The newlywed's bedroom was decorated very beautifully,xīn fáng bù zhì de hěn piào liang,[sound:新房布置得很漂亮.mp3]
昨天聚会吃得怎么样,How did (you) like the food at yesterdays party?,zuó tiān jù huì chī dé zěn me yàng,[sound:昨天聚会吃得怎么样.mp3]
她的前男朋友在婚礼上喝得怎么样,How has her ex-boryfriend's drinking at the wedding?,tā de qián nán péng you zài hūn lǐ shǎng hē dé zěn me yàng,[sound:她的前男朋友在婚礼上喝得怎么样.mp3]
小王的生日过得怎么样,How was Xiao Wang's birthday?,xiǎo wáng de shēng rì guò dé zěn me yàng,[sound:小王的生日过得怎么样.mp3]
他在婚礼上喝得很多,He drank a lot at the wedding&nbsp;,tā zài hūn lǐ shǎng hē de hěn duō,[sound:他在婚礼上喝得很多.mp3]
原来小李跳舞跳得这么棒,As it turns out Xiao Li dances so well!,yuán lái xiǎo lǐ tiào wǔ tiào dé zhè me bàng,[sound:原来小李跳舞跳得这么棒.mp3]
小李怎么走得这么早,How come Xiao Li left so early!,xiǎo lǐ zěn me zǒu dé zhè me zǎo,[sound:小李怎么走得这么早.mp3]
昨天聚会吃得很撑,At yesterday's party (I) ate a lot and got very full,zuó tiān jù huì chī de hěn chēng,[sound:昨天聚会吃得很撑.mp3]
他听故事听得一点儿也不认真,He doesnt listen to stories attentively at all,tā tīng gù shì tīng dé yī diǎn er yě bú rèn zhēn,[sound:他听故事听得一点儿也不认真.mp3]
玫瑰,Rose,méi guī,[sound:玫瑰.mp3]
花儿,Flower (erhua),huā ér,[sound:花儿.mp3]
儿化,Erhua,ér huà,[sound:儿化.mp3]
包儿,Bag (erhua),bāo ér,[sound:包儿.mp3]
猴儿,Monkey (erhua),hóu ér,[sound:猴儿.mp3]
本儿,Notebook (erhua),běn ér,[sound:本儿.mp3]
红色的包儿好看还是黑色的包儿好看,Is the red bag (erhua) or the black one pretty?,hóng sè de bāo ér hǎo kàn hái shi hēi sè de bāo ér hǎo kàn,[sound:红色的包儿好看还是黑色的包儿好看.mp3]
放在桌子上的本儿是谁的,Whose is the notebook (erhua) on the table?,fàng zài zhuō zi shǎng de běn ér shì shéi de,[sound:放在桌子上的本儿是谁的.mp3]
歌儿,Song (erhua),gē er,[sound:歌儿.mp3]
红色的包儿比黑色的包儿好看,The red bag (erhua) is prettier than the black one,hóng sè de bāo ér bǐ hēi sè de bāo ér hǎo kàn,[sound:红色的包儿比黑色的包儿好看.mp3]
挂在墙上的画儿是谁画的,Who painted the painting hung on the wall?,guà zài qiáng shǎng de huà er shì shéi huà de,[sound:挂在墙上的画儿是谁画的.mp3]
花瓶,Flower vase,huā píng,[sound:花瓶.mp3]
书包,Backpack,shū bāo,[sound:书包.mp3]
计算机语言,Coding language,jì suàn jī yǔ yán,[sound:计算机语言.mp3]
你不相信我吗,Dont you believe me?,nǐ bù xiāng xìn wǒ mǎ,[sound:你不相信我吗.mp3]
这里听不到外面的声音,(I) cant hear the sound from outside here,zhè lǐ tīng bu dào wài miàn de shēng yīn,[sound:这里听不到外面的声音.mp3]
这种礼物,This kind of gift,zhè zhǒng lǐ wù,[sound:这种礼物.mp3]
你看不见我吗,Dont you see me?,nǐ kàn bu jiàn wǒ mā,[sound:你看不见我吗.mp3]
一种计算机语言,A coding language,yī zhǒng jì suàn jī yǔ yán,[sound:一种计算机语言.mp3]
游泳比赛里他得了第一,He got first place in the swimming contest,yóu yǒng bǐ sài lǐ tā dé le dì yī,[sound:游泳比赛里他得了第一.mp3]
我听不懂你的话,I dont understand what you say,wǒ tīng bu dǒng nǐ de huà,[sound:我听不懂你的话.mp3]
这样不好,This is not cool,zhè yàng bù hǎo,[sound:这样不好.mp3]
一只小狗从门口走了进来,A puppy walked in through the door,yī zhǐ xiǎo gǒu cóng mén kǒu zǒu le jìn lái,[sound:一只小狗从门口走了进来.mp3]
你说得不对,What you said is not correct,nǐ shuì dé bú duì,[sound:你说得不对.mp3]
我星期五不在家,Im not home on Friday,wǒ xīng qī wǔ bú zài jiā,[sound:我星期五不在家.mp3]
我学不会这种语言,I cant learn this language,wǒ xué bú huì zhè zhǒng yǔ yán,[sound:我学不会这种语言.mp3]
并,Actually... (strengthen negation),bìng,[sound:并.mp3]
一遍,one time(all the way through)/once through,yī biàn,[sound:一遍.mp3]
请你重新写一遍,Please you write (it) again,yī biàn qǐng nǐ chóng xīn xiě yī biàn,[sound:请你重新写一遍.mp3]
我仍然在一家公司做程序员,I'm still (formal) working for a company as a programmer,wǒ réng rán zài yī jiā gōng sī zuò chéng xù yuán,[sound:我仍然在一家公司做程序员.mp3]
三年了她仍然在等你,"Its been three years, and she's still (formal) waiting for you",sān nián le tā réng rán zài děng nǐ,[sound:三年了她仍然在等你.mp3]
他的眼睛这么红刚才肯定哭了,"His eyes are so red, (He) must have just cried",tā de yǎn jing zhè me hóng gāng cái kěn dìng kū le,[sound:他的眼睛这么红刚才肯定哭了.mp3]
我本来计划去日本,I was originally planning on going to Japan,wǒ běn lái jì huà qù rì běn,[sound:我本来计划去日本.mp3]
那个人永远离开了,That person is gone forever,nà gè rén yǒng yuǎn lí kāi le,[sound:那个人永远离开了.mp3]
天这么黑一会儿肯定下雨,"The sky is so dark, it must rain in a while",tiān zhè me hēi yī huì er kěn dìng xià yǔ,[sound:天这么黑一会儿肯定下雨.mp3]
我并不会说英文,Actually I don't speak english,wǒ bìng bú huì shuì yīng wén,[sound:我并不会说英文.mp3]
我本来想周末去她家,I was originally thinking about going to Her place on the weekend,wǒ běn lái xiǎng zhōu mò qù tā jiā,[sound:我本来想周末去她家.mp3]
天终于晴啦,The sky is finally clear!,tiān zhōng yú qíng lā,[sound:天终于晴啦.mp3]
我本来没打算请他,I didnt intend on inviting him,wǒ běn lái méi dǎ suàn qǐng tā,[sound:我本来没打算请他.mp3]
上下,around/about,shàng xià,[sound:上下.mp3]
前后,about/around,qián hòu,[sound:前后.mp3]
至于价格嘛五百块钱左右吧,"As for the price, (its) around 500 Yuan",zhì yú jià gé ma wǔ bǎi kuài qián zuǒ yòu bā,[sound:至于价格嘛五百块钱左右吧.mp3]
每件衬衫五百块钱左右,Each shirt is around 500 Yuan,měi jiàn chèn shān wǔ bǎi kuài qián zuǒ yòu,[sound:每件衬衫五百块钱左右.mp3]
昨天来了一位一米八左右的顾客,A customer who was about 1.8m tall came yesterday,zuó tiān lái le yī wèi yī mǐ bā zuǒ yòu de gù kè,[sound:昨天来了一位一米八左右的顾客.mp3]
十多件衬衫花了一千多块钱,More than ten shirts cost over a thousand Yuan,shí duō jiàn chèn shān huā le yī qiān duō kuài qián,[sound:十多件衬衫花了一千多块钱.mp3]
我想给我的男朋友买一件衬衫,I would like to buy a shirt for my boyfriend&nbsp;,wǒ xiǎng gěi wǒ de nán péng you mǎi yī jiàn chèn shān,[sound:我想给我的男朋友买一件衬衫.mp3]
那位顾客买了十多件这种衬衫,That customer bought more than ten shirts of this kind,nā wèi gù kè mǎi le shí duō jiàn zhè zhǒng chèn shān,[sound:那位顾客买了十多件这种衬衫.mp3]
至于颜色嘛白色或者蓝色都行,"As for the colour, either white of blue would do",zhì yú yán sè ma bái sè huò zhě lán sè doū xíng,[sound:至于颜色嘛白色或者蓝色都行.mp3]
他一米八左右,He is about 1.8m,tā yī mǐ bā zuǒ yòu,[sound:他一米八左右.mp3]
他多高,How tall is he?,tā duō gāo,[sound:他多高.mp3]
工作日,workday,gōng zuò rì,[sound:工作日.mp3]
商场,Shopping mall,shāng chǎng,[sound:商场.mp3]
精明,astute/shrewd,jīng míng,[sound:精明.mp3]
拎,to lift,līn,[sound:拎.mp3]
大包小包,(shopping) bags,dà bāo xiǎo bāo,[sound:大包小包.mp3]
排,line up/arrange/put in order,pái,[sound:排.mp3]
虽然价格便宜了一半但是质量一样好,"Although the price got half as cheap, the quality is as good (as before)",suī rán jià gé biàn yí le yī bàn dàn shì zhì liàng yī yàng hǎo,[sound:虽然价格便宜了一半但是质量一样好.mp3]
很多精明的顾客在这时候疯狂购物,Many shrewd customers go on a shopping spree at this time,hěn duō jīng míng de gù kè zài zhè shí hòu fēng kuáng gòu wù,[sound:很多精明的顾客在这时候疯狂购物.mp3]
蓝衬衫的质量反而比白衬衫好,Instead the quality of the blue shirts is better than the white shirts,lán chèn shān de zhì liàng fǎn ér bǐ bái chèn shān hǎo,[sound:蓝衬衫的质量反而比白衬衫好.mp3]
工作日的顾客反而比周末多,Instead there are more customers on weekdays than on weekends,gōng zuò rì de gù kè fǎn ér bǐ zhōu mò duō,[sound:工作日的顾客反而比周末多.mp3]
