得,(complement particle),de,[sound:得.mp3]
信心,confidence; faith (in sb. or sth.),xìn xīn,[sound:信心.mp3]
竞争,compete,jìng zhēng,[sound:竞争.mp3]
镜子,mirror,jìng zi,[sound:镜子.mp3]
批评,criticize,pī píng,[sound:批评.mp3]
西红柿,tomato,xī hóng shì,[sound:西红柿.mp3]
广播,broadcast; on the air,guǎng bō,[sound:广播.mp3]
暖和,warm; nice and warm,nuǎn huo,[sound:暖和.mp3]
专门,specialized,zhuān mén,[sound:专门.mp3]
袜子,socks; stockings,wà zi,[sound:袜子.mp3]
生意,business; trade,shēng yi,[sound:生意.mp3]
冷静,calm; cool-headed; sober,lěng jìng,[sound:冷静.mp3]
植物,plant; botanical; vegetation,zhí wù,[sound:植物.mp3]
租,to rent,zū,[sound:租.mp3]
缺少,to lack; be short of; be deficient in,quē shǎo,[sound:缺少.mp3]
特点,a characteristic; trait; feature,tè diǎn,[sound:特点.mp3]
相同,identical; same; alike,xiāng tóng,[sound:相同.mp3]
学期,semester; school term,xué qī,[sound:学期.mp3]
打扮,dress up; put on make up,dǎ ban,[sound:打扮.mp3]
律师,lawyer,lǜ shī,[sound:律师.mp3]
家具,furniture,jiā jù,[sound:家具.mp3]
污染,pollution; contamination,wū rǎn,[sound:污染.mp3]
功夫,kung fu; skill; art; labor,gōng fu,[sound:功夫.mp3]
判断,to judge; judgment; to decide,pàn duàn,[sound:判断.mp3]
对话,dialogue; conversation,duì huà,[sound:对话.mp3]
害羞,blush; shy,hài xiū,[sound:害羞.mp3]
打扰,disturb,dǎ rǎo,[sound:打扰.mp3]
棵,(mw for plants),kē,[sound:棵.mp3]
小吃,snack; refreshments,xiǎo chī,[sound:小吃.mp3]
优点,merit; good point; a strength; a benefit,yōu diǎn,[sound:优点.mp3]
祝贺,congratulate,zhù hè,[sound:祝贺.mp3]
亚洲,Asia,yà zhōu,[sound:亚洲.mp3]
敲,knock; blackmail,qiāo,[sound:敲.mp3]
顾客,customer; client,gù kè,[sound:顾客.mp3]
海洋,ocean,hǎi yáng,[sound:海洋.mp3]
同情,compassion; sympathy,tóng qíng,[sound:同情.mp3]
抱歉,be sorry; feel apologetic; to regret,bào qiàn,[sound:抱歉.mp3]
反对,oppose; fight against,fǎn duì,[sound:反对.mp3]
散步,to go for a walk,sàn bù,[sound:散步.mp3]
稍微,a little bit; slightly,shāo wēi,[sound:稍微.mp3]
准时,punctually; on time,zhǔn shí,[sound:准时.mp3]
看法,point of view; opinion,kàn fǎ,[sound:看法.mp3]
出差,go on a business trip,chū chāi,[sound:出差.mp3]
饼干,biscuit; cracker; cookie,bǐng gān,[sound:饼干.mp3]
脏,filthy; dirty,zāng,[sound:脏.mp3]
来不及,there's not enough time (to do something); it's too late,lái bu jí,[sound:来不及.mp3]
误会,to misunderstand; to mistake,wù huì,[sound:误会.mp3]
亲戚,a relative (i.e. family relation),qīn qi,[sound:亲戚.mp3]
堵车,traffic jam,dǔ chē,[sound:堵车.mp3]
力气,physical strength; effort,lì qi,[sound:力气.mp3]
森林,forest,sēn lín,[sound:森林.mp3]
开玩笑,joke; play a joke; make fun of,kāi wán xiào,[sound:开玩笑.mp3]
座位,seat; place,zuò wèi,[sound:座位.mp3]
禁止,to ban; prohibit,jìn zhǐ,[sound:禁止.mp3]
老虎,tiger,lǎo hǔ,[sound:老虎.mp3]
客厅,living room; parlor,kè tīng,[sound:客厅.mp3]
护士,nurse,hù shi,[sound:护士.mp3]
孙子,grandson; son's son,sūn zi,[sound:孙子.mp3]
窗户,window,chuāng hu,[sound:窗户.mp3]
养成,cultivate; acquire; to form,yǎng chéng,[sound:养成.mp3]
入口,entrance,rù kǒu,[sound:入口.mp3]
毛巾,towel; washcloth,máo jīn,[sound:毛巾.mp3]
准确,accurate; precise,zhǔn què,[sound:准确.mp3]
作家,author; writer,zuò jiā,[sound:作家.mp3]
抬,to lift; to raise (with both palms up); carry (together),tái,[sound:抬.mp3]
普遍,common; universal; general; widespread,pǔ biàn,[sound:普遍.mp3]
尝,to taste; flavor; (past tense marker),cháng,[sound:尝.mp3]
积累,accumulate; accumulation,jī lěi,[sound:积累.mp3]
相反,opposite; contrary,xiāng fǎn,[sound:相反.mp3]
普通话,Mandarin (common language),pǔ tōng huà,[sound:普通话.mp3]
牙膏,toothpaste,yá gāo,[sound:牙膏.mp3]
诚实,honest; honorable,chéng shí,[sound:诚实.mp3]
表扬,to praise; commend,biǎo yáng,[sound:表扬.mp3]
合格,qualified; up to standard,hé gé,[sound:合格.mp3]
恐怕,be afraid; to fear; I'm afraid that...,kǒng pà,[sound:恐怕.mp3]
果汁,fruit juice,guǒ zhī,[sound:果汁.mp3]
长城,the Great Wall,cháng chéng,[sound:长城.mp3]
博士,doctor; PhD,bó shì,[sound:博士.mp3]
活泼,lively; vivacious,huó po,[sound:活泼.mp3]
大约,approximately; about,dà yuē,[sound:大约.mp3]
严格,strict; stringent; tight,yáng é,[sound:严格.mp3]
参观,"to visit (a place, such as a tourist spot); inspect",cān guān,[sound:参观.mp3]
例如,for example; for instance,lì rú,[sound:例如.mp3]
航班,scheduled flight; flight number,háng bān,[sound:航班.mp3]
迷路,to get lost,mí lù,[sound:迷路.mp3]
叶子,leaves,yè zi,[sound:叶子.mp3]
付款,to pay,fù kuǎn,[sound:付款.mp3]
胳膊,arm,gē bo,[sound:胳膊.mp3]
来得及,there's still time,lái de jí,[sound:来得及.mp3]
首都,capital (city),shǒu dū,[sound:首都.mp3]
按时,on time; on schedule,àn shí,[sound:按时.mp3]
性别,gender; sex; sexual distinction,xìng bié,[sound:性别.mp3]
签证,visa,qiān zhèng,[sound:签证.mp3]
盒子,box,hé zi,[sound:盒子.mp3]
主意,plan; idea; decision,zhǔ yi,[sound:主意.mp3]
礼貌,courtesy; politeness; manners,lǐ mào,[sound:礼貌.mp3]
打招呼,notify; greet; inform,dǎ zhāo hu,[sound:打招呼.mp3]
商量,consult; talk over; discuss,shāng liang,[sound:商量.mp3]
长江,the Yangtze River; the Changjiang River,cháng jiāng,[sound:长江.mp3]
景色,scenery; landscape; scene; view,jǐng sè,[sound:景色.mp3]
小伙子,young man; lad; youngster,xiǎo huǒ zi,[sound:小伙子.mp3]
奖金,bonus,jiǎng jīn,[sound:奖金.mp3]
其次,next; secondly,qí cì,[sound:其次.mp3]
节约,frugal; to save,jié yuē,[sound:节约.mp3]
顺序,sequence; order,shùn xù,[sound:顺序.mp3]
打印,to print,dǎ yìn,[sound:打印.mp3]
气候,climate; atmosphere; weather,qì hòu,[sound:气候.mp3]
羽毛球,badminton,yǔ máo qiú,[sound:羽毛球.mp3]
友好,friendly (relations); close friends,yǒu hǎo,[sound:友好.mp3]
网球,tennis; tennis ball,wǎng qiú,[sound:网球.mp3]
乘坐,ride; get into (a vehicle),chéng zuò,[sound:乘坐.mp3]
打针,inject; get a shot,dǎ zhēn,[sound:打针.mp3]
卫生间,restroom; bathroom; water closet (WC),wèi shēng jiān,[sound:卫生间.mp3]
高速公路,highway,gāo sù gōng lù,[sound:高速公路.mp3]
大夫,doctor; physician,dài fu,[sound:大夫.mp3]
矿泉水,mineral water,kuàng quán shuǐ,[sound:矿泉水.mp3]
垃圾桶,garbage can,lā jī tǒng,[sound:垃圾桶.mp3]
硕士,Master's degree (M.A.),shuò shì,[sound:硕士.mp3]
勺子,spoon; scoop; ladle,sháo zi,[sound:勺子.mp3]
导游,tour guide,dǎo yóu,[sound:导游.mp3]
推迟,postpone; defer,tuī chí,[sound:推迟.mp3]
零钱,small change (of money),líng qián,[sound:零钱.mp3]
乒乓球,ping pong; table tennis,pīng pāng qiú,[sound:乒乓球.mp3]
应聘,accept a job offer; to apply for a job,yìng pìn,[sound:应聘.mp3]
烤鸭,roast duck,kǎo yā,[sound:烤鸭.mp3]
理发,"a barber, hairdressing; haircut",lǐ fà,[sound:理发.mp3]
塑料袋,plastic bag,sù liào dài,[sound:塑料袋.mp3]
吃惊,be startled; be shocked; be amazed,chī jīng,[sound:吃惊.mp3]
京剧,Beijing Opera,jīng jù,[sound:京剧.mp3]
词语,words and expressions; terms,cí yǔ,[sound:词语.mp3]
橡皮,rubber; an eraser,xiàng pí,[sound:橡皮.mp3]
排列,arrange; align; permutation,pái liè,[sound:排列.mp3]
粗心,careless; inadvertent; negligent,cū xīn,[sound:粗心.mp3]
房东,landlord,fáng dōng,[sound:房东.mp3]
加油站,gas station,jiā yóu zhàn,[sound:加油站.mp3]
流利,fluent,liú lì,[sound:流利.mp3]
邮局,post office,yóu jú,[sound:邮局.mp3]
干杯,to drink a toast; cheers!; bottoms up!,gān bēi,[sound:干杯.mp3]
降落,descend; to land; put down,jiàng luò,[sound:降落.mp3]
表格,form (document),biǎo gé,[sound:表格.mp3]
语法,grammar,yǔ fǎ,[sound:语法.mp3]
郊区,suburbs; outskirts,jiāo qū,[sound:郊区.mp3]
修理,to repair; perform maintenance; to overhaul,xiū lǐ,[sound:修理.mp3]
信封,envelope,xìn fēng,[sound:信封.mp3]
国籍,nationality,guó jí,[sound:国籍.mp3]
凉快,nice and cool; pleasantly cool,liáng kuai,[sound:凉快.mp3]
预习,(of students) prepare a lesson before class; preview,yù xí,[sound:预习.mp3]
复印,photocopy; duplicate,fù yìn,[sound:复印.mp3]
马虎,careless; sloppy; casual,mǎ hu,[sound:马虎.mp3]
弹钢琴,play the piano,tán gāng qín,[sound:弹钢琴.mp3]
大使馆,embassy,dà shǐ guǎn,[sound:大使馆.mp3]
填空,fill in the blanks; fill a vacancy,tián kòng,[sound:填空.mp3]
售货员,salesclerk; shop assistant,shòu huò yuán,[sound:售货员.mp3]
礼拜天,Sunday,lǐ bài tiān,[sound:礼拜天.mp3]
传真,fax; facsimile,chuán zhēn,[sound:传真.mp3]
占线,the (phone) line is busy,zhàn xiàn,[sound:占线.mp3]
百分之,percent,bǎi fēn zhī,[sound:百分之.mp3]
打折,sell at a discount,dǎ zhé,[sound:打折.mp3]
登机牌,boarding pass,dēng jī pái,[sound:登机牌.mp3]
短信,text message; SMS,duǎn xìn,[sound:短信.mp3]
放暑假,have summer vacation,fàng shǔ jià,[sound:放暑假.mp3]
接着,continue; carry on; to catch; follow,jiē zhe,[sound:接着.mp3]
千万,ten million; be sure to; must,qiān wàn,[sound:千万.mp3]
随着,along with; in the wake of,suí zhe,[sound:随着.mp3]
